"","Points","Cost","Name","Position"
"136","2.43","$4300","Sean Doolittle","P"
"137","2.76","$4000","Trevor Rosenthal","P"
"138","2.64","$4000","A.J. Ramos","P"
"139","30.12","$10700","Jose Fernandez","P"
"140","3.42","$4000","Hector Rondon","P"
"141","27.99","$8800","Michael Wacha","P"
"142","30.09","$8200","Tanner Roark","P"
"143","25.98","$6500","Chris Bassitt","P"
"144","27.06","$5500","Tyler Wilson","P"
"145","23.04","$6700","Taylor Jungmann","P"
"146","20.31","$7200","Aaron Nola","P"
"147","28.98","$9100","Kenta Maeda","P"
"148","9.2","$2100","A.J. Pierzynski","C"
"149","7.85","$2200","David Ross","C"
"150","8.49","$2500","Dioner Navarro","C"
"151","10.71","$3800","Francisco Cervelli","C"
"152","10.09","$2800","Jonathan Lucroy","C"
"153","7.22","$2100","Jose Lobaton","C"
"154","8.48","$2400","Matt Wieters","C"
"155","6.88","$2300","Ryan Hanigan","C"
"156","8.81","$2900","Victor Martinez","C"
"157","9.68","$3500","Welington Castillo","C"
"158","9.93","$3000","Yadier Molina","C"
"159","8.88","$2800","Yasmani Grandal","C"
"160","8.7","$2000","Josh Phegley","C"
"161","8.8","$2400","Cameron Rupp","C"
"162","7.28","$2500","Jacob Realmuto","C"
"163","8.38","$2200","Tony Wolters","C"
